Title,Company,Location,Salary,Salary Type,Fit Score,Response Probability,Missing Skills,Verdict,URL
Technical Academic Contributor (BTech/MTech) | $60/hr Remote,Crossing Hurdles,EMEA (Remote),Technical Academic Contributor (BTech/MTech) | $60/hr Remote,hourly,25,15,CAD software experience | Design discipline expertise | Manufacturing knowledge | Academic content creation for educational purposes | Technical writing for academic instruction | Design engineering coursework,"Should not apply - this is an academic content creation role for design/manufacturing engineering, not ML/AI research, and the candidate's expertise doesn't match the domain requirements.",https://www.linkedin.com/jobs/view/4392872983/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=VnNZ%2FdnegQ6VKdFN7PCg0w%3D%3D&trackingId=vXJlgVTp6YYXoEgLwTIAvg%3D%3D&trk=flagship3_search_srp_jobs
Science Lead - Digital Biomarkers & Remote Patient Management,Roche,"Vienna, Vienna, Austria",$38/hr - $43/hr,hourly,25,15,10+ years pharmaceutical industry experience | Senior leadership experience in large organizations | Clinical trial design and analysis | Digital biomarker/healthcare domain expertise | Regulatory affairs knowledge | Medical device development experience | Team management and strategic roadmap development | Cross-industry collaboration at executive level,Should not apply - this senior leadership role requires 10+ years pharmaceutical industry experience and healthcare domain expertise that significantly exceeds the candidate's current academic background.,https://www.linkedin.com/jobs/view/4383773136/?eBP=CwEAAAGdU_VWh1b9dp8YHgIJM1N7bzgs8UISit1JnBOZq1079ztY3DybnbJanO2xZiK7ptf-x_MHRyMY3myGrOga9Fy5BPfmV1GN58ciCO7YfsZgGU6gjRxZv-IkC9v_HzVn38DMXJSiwDvZ5aMzBOb_s1se-cAnEafFWM9qHv_piDUrcG1P-85XntRMr-9f42yOphuULu_wDUf9FoY-JhQbkY33vEPekg_Doutv9t8q8p0vQmDFoFwuX3k8Psdy5JFsE6DvzFqb3U_kzK0npa3QnEozv3AfKz7EztOyVtNtyEUlDDQbsAPmkkFfnmMYYq3guYzLKEaJkydEr39lM2RsbWeGTE3xNLnb8m-VJ5zv5y41AtHpVUHTreey0msAoBzfgesgnwXOiEoDtQV6HD1zINRY189Lm5DnTef6PWyiN_NJCYAXVn50tF41DrkTjE2BSO5GTtYaYpf-QjK2cPs2nivkyPb3hmR5dlpx_9nMSXdZCAQ&refId=1mQtISncZOzwX6R1NPN6iQ%3D%3D&trackingId=O%2FFTN8%2BWRR%2Bi%2BZHMV%2Fxz3w%3D%3D&trk=flagship3_search_srp_jobs
Digital Biomarker Science & Technology Neuroscience Lead,Roche,"Vienna, Vienna, Austria",$38/hr - $43/hr,hourly,25,5,10+ years pharmaceutical/digital health industry experience | Senior stakeholder management experience | Product management experience in large Pharma/Medtech | Clinical trials experience | Regulatory strategy experience | Digital biomarker development for clinical applications | Commercial product development experience | Leadership experience managing cross-functional teams | Pre-sales and business development experience,"Should not apply - this is a senior industry leadership role requiring 10+ years pharma experience, while candidate has 4 years in academic research.",https://www.linkedin.com/jobs/view/4383752888/?eBP=CwEAAAGdU_WYfClt_U7lxBUilxAmDFRtgYZf92_KpLtw42obVmodadh66iYrirFouM_o7jAl6p8OSPQbp6lGQ5s-gB1HVGJwrJHBdE3puRLUotHwAQdZSHnTq1JCBMLAVW1rKfc4-rTbiNzLpLioUJq_FqV1Dqq5L-h0Mi2xiGqLBDh_y2UJyix4H9LS26_R2cfYecO1pZv3oZbnYCFB45Q5BbBud12DGFaUYiRzB_D1zThQDP37kR_CHaKVsLjYGuN-C9yuzxzH1l95yFVizIrQbv2bpuq49hfrTyRM3p_zT7RdwQjAPAk6PzVuHs_jdrTK2B4vSd-AKQl2gI4bjUy46taUt8x4mJVnYns6w2BWm4MpCyRnDK2RPLLlPR1sYg3e9u9kMCQqK9pR-QBibHTHgBIo3Dsfqi03VN4hAdQ6k7KiPszGmU5V80DKy1KiaoJZDrNfb8Hjrz5NRVXl7OCPZY90Y_qLpdHdnAHsiyX_dS-cVwo&refId=mUDzFaoeWVfVGrf8pW6PZw%3D%3D&trackingId=VheZEzDFjHrP%2BZLrHqK2Hw%3D%3D&trk=flagship3_search_srp_jobs
Freelancing||LLM - AI Quality Analyst/Data Annotator|,PGC Digital (America) Inc: CMMI Level 3 Company,European Union (Remote),Professional Evaluator - Fully Remote | Upto $35/hr Hourly,hourly,25,15,"EU language proficiency (Polish, Dutch, Bulgarian, Danish, Finnish, Greek, Norwegian, Romanian, Swedish, French, German, Italian) | Data annotation or content moderation experience | Experience with conversational AI evaluation | LLM quality assessment experience | Personal Google account usage willingness for evaluation | Prompt engineering for personalization testing",Should not apply - lacks the mandatory EU language proficiency requirement and role focuses on LLM evaluation rather than the candidate's deep learning research expertise.,https://www.linkedin.com/jobs/view/4393914176/?eBP=CwEAAAGdU_WYfF5kdfTRtO_6ZWDEf_ATIOqkToAdIHHDx2fb5W2_meiw83q-bwc-q-Gi8ErS5TVJVF1YbA6bGu8TwsD1nOGlcwfBIl-YfvsdW5pmf88u18ZcVicNcD6CicOpmmBgaD95oaZoj3AY_MUN_WgrpHSaQaVqnIsAOUXQzbwM2UTKJhOErkot0wL_1xQA8YKF-DOdmsIyDJvW_jlBs9azVcLLIgDabgbMNZj6baZ-rKIQy2wNkMhwgcjV0gMGbPtFf02IsgXm1O0LVFvWQI4RcAzfzAhvceXYPAGrqXa2iMyeuZoU1ceY4pCLOXcohzRMetgzORtb2FmSZyzUs6ipOi6CCLQyEmCcFLhwgKr8sEZja0zKgTG_zi_zB0LLRGkaxIJzz_z6R4UarY_ii39-dfdP8JdHf_mbRuIGny88HX4fzp13OINxYKrA557tGzM4rdd7L50eEIvUUI1VPEDw-4fi104v73B_07s2e9B4mLDjvNpMlmBoEeWwTPHP&refId=mUDzFaoeWVfVGrf8pW6PZw%3D%3D&trackingId=xMBjBanRz7p2UE40XFg37g%3D%3D&trk=flagship3_search_srp_jobs
Applied AI Specialist,Swans,EMEA (Remote),$80/hr - $90/hr,hourly,25,15,"LLM deployment and integration experience | Claude/Google AI ecosystem experience | Automation platforms (Make, Zapier, n8n) | REST API integrations for business systems | Client-facing consulting experience | CRM and operational data integration | AI agent/GPT building | MCP or custom connector frameworks | Professional services/legal tech experience",They should not apply as their research-focused ML background doesn't align with the applied LLM consulting and business automation requirements of this role.,https://www.linkedin.com/jobs/view/4391614977/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W%2BWWHmxCCKtxuYWCiznb9g%3D%3D&trackingId=Liaj%2Fdx%2FFIRdF1cU%2BjA8ZQ%3D%3D&trk=flagship3_search_srp_jobs
Electronic Data Analyst,Confidential Careers,EMEA (Remote),Data Analyst (Annotation) | $40/hr Remote,hourly,25,15,"Business intelligence tools (Power BI, Tableau) | Dashboard and visualization creation | Business stakeholder engagement | Data governance and compliance | Cloud-based data environments | API integration experience | Commercial software environment experience",Should not apply - this is a significant career pivot from ML research to business data analysis that the resume doesn't support.,https://www.linkedin.com/jobs/view/4395293012/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W%2BWWHmxCCKtxuYWCiznb9g%3D%3D&trackingId=lkMxEfB81wNNqpNw5CKV9w%3D%3D&trk=flagship3_search_srp_jobs
Applied AI Data Scientist (CEO Office),TheSoul Group,European Economic Area (Remote),$80/hr - $90/hr,hourly,25,15,"Russian language fluency | Top-tier competitive coding credentials (Kaggle Master+, ICPC, IOI, Codeforces IM+) | Business/content strategy experience | SQL production experience | Social media/content analytics domain knowledge | LLM and AI agents development | Direct business stakeholder communication","Should not apply due to missing hard requirements (Russian fluency, competitive coding credentials) and significant domain mismatch from academic research to business strategy.",https://www.linkedin.com/jobs/view/4378855023/?eBP=CwEAAAGdU_YbdE_JRSgwPtakakKNdr59qzGckZjpo54N_aK_tGmNpJCxXL-wJgiTWS406LCVsNe5Oelo31ZiLNQY4OMxamqfFLAIOgZHx62QFfybN1Wqm2Lbw61aTTmLJOBnsRURqoe4CwlMLYSEKwwixCiS1Nz3XDI0p4_eNxda_W21WtWjEGlqYMnmNUtyCQBqnllPKIC_kc-duWwnplKISLxJYLvI0Po4_K8JzQTcKMe8pL0XK_zSVh2AWhsIgAkMimuaaWuPRjnGW4oiFOyweUyfVFirAnHHhwzvsYg5itRplm1LGF-j_7przCOZbWyyklNINGXN59embl4JzhBI3XKQK5eD3_ROb2cOVt7DaohmmqV2xqyillm0IeWdw-VWyo5ttEfECFD3xRvymVwDDfq32Akt9C2BXLWf18OONv6jnyoQ7ydbrBjIz5JbtdzSMeD9nHG728q6oHpF23oUFMRb3gCY3cFgDGlTgEQ&refId=JOD7%2Bx8rDyBzz%2BJtqmk03Q%3D%3D&trackingId=qWu8ztFJja7gqP1eLXSxcg%3D%3D&trk=flagship3_search_srp_jobs
AI Compiler Engineer,IC Resources,European Union (Remote),Salary: (€100k - €150k),hourly,25,5,Compiler engineering experience | MLIR framework | Torch-FX | TVM | C++ proficiency | IR design | Graph compiler passes | Hardware accelerator knowledge | Code generation experience,Do not apply - this role requires specialized compiler engineering expertise that is completely absent from your ML research background.,https://www.linkedin.com/jobs/view/4395287149/?eBP=BUDGET_EXHAUSTED_JOB&refId=3JDSWDmO8wq8FadqIOUy8g%3D%3D&trackingId=%2B7eJFA8Ux8J3HE2JLt1%2Flg%3D%3D&trk=flagship3_search_srp_jobs
🚀 Founders Associate (Tech & Automation) | Tech Lead / CTO Track | PropTech Startup | Lissabon,Planeco Building,DACH (Remote),$80/hr - $90/hr,hourly,25,15,"JavaScript | SQL proficiency | No-code tools (Make, Webflow) | SaaS stack management (Salesforce, Calendly, Slack) | Google Cloud platform | Business process automation | German language | PropTech/real estate domain knowledge","Don't apply - this role needs a technical generalist focused on business automation, not a specialized ML researcher.",https://www.linkedin.com/jobs/view/4395286466/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=3JDSWDmO8wq8FadqIOUy8g%3D%3D&trackingId=ocdOJwX%2FX1j1I4tXM%2BWE5A%3D%3D&trk=flagship3_search_srp_jobs
Applied AI Data Scientist (CEO Office),TheSoul Group,European Union (Remote),$80/hr - $90/hr,hourly,25,5,"Russian language fluency (critical requirement) | Top-tier competitive coding credentials (Kaggle Master+, ICPC/IOI medals, Codeforces IM+) | Production data science experience in business contexts | SQL at production scale | Content/media/social platform analytics | LLM and AI agents experience | Business analytics and strategy translation | CTR, retention, engagement metrics experience",Should not apply - missing critical Russian language requirement and competitive programming credentials that appear to be non-negotiable filters.,https://www.linkedin.com/jobs/view/4378846768/?eBP=CwEAAAGdU_acV07FndbQO-ICKwXZyYg0Zm18G3oESFKjfoRkFcvJ8kgeRUfQQqxHCzShKWclZfEWql1O18gTOZfyasj8QnQEowc8AvyLTo_dzIKZM1X9CmLuMrmDs7aBO1vBG3Cgc0EfQyZkmFHWAWub9i3qC7H8HyoowY14aOtTL_FIR8UzPzE75Nsayzy4MS3R3U9IYCDBHEhMNVhtsv2FgkY1V2_fmAjl-orluz0RLtdC0b2VzizvzVua0-06rOVeQQGWFooPrPL4jMFuU1l3dyW2v8dyVZUYmlhWswQKPEEz0jWtrcjiu-9SVNS6FOymf37ACnVDPt-gHYyaQgKY3jrM_6NEQ4okCNYNhhMt6EMKgTU9pQcgf_yoU8SCjPEbDDTCUWNu9N9NVz_eC2A_1QhnzhgAPGvope1qoJcs5hTHDKl8Lk4L4EpicRU99xC0T3zPzSlqrqPJ5y2BbrKHeHvD27mEZd2OBf0pbONUPQ&refId=2W2oS5QbQB3qQZF5wRnaRg%3D%3D&trackingId=QXj3eLQedjCT%2FHSeVSTVvw%3D%3D&trk=flagship3_search_srp_jobs
Mechanical / Electrical Engineering Project Contributor | $60/hr Remote,Crossing Hurdles,EMEA (Remote),Mechanical / Electrical Engineering Project Contributor | $60/hr Remote,hourly,25,15,CAD software experience | Mechanical/Electrical engineering background | Design and manufacturing expertise | Traditional engineering project documentation | Hardware/physical systems experience,"Skip this application - your ML expertise is impressive but this role needs traditional mechanical/electrical engineering content creation, not AI research skills.",https://www.linkedin.com/jobs/view/4393014249/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=KhkQm0TyAfBPvrM0IGiu%2BQ%3D%3D&trackingId=hEDQPimfqWRw1QQaXnaRdw%3D%3D&trk=flagship3_search_srp_jobs
Business Specialist,micro1,EMEA (Remote),$100/hr - $100/hr,hourly,25,15,BSc in Business/Management or related discipline | Proven experience in business expert or industry EP role | Business strategy and market analysis experience | Stakeholder presentation and business reporting | MacOS 15.0+ requirement | Business acumen and commercial experience,"Should not apply - this is a business strategy role requiring commercial experience, not a technical ML engineering position.",https://www.linkedin.com/jobs/view/4395383951/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=KhkQm0TyAfBPvrM0IGiu%2BQ%3D%3D&trackingId=XyUGWHRfitT3XEeAbaHTug%3D%3D&trk=flagship3_search_srp_jobs
Engineering Content Contributor – Graduate Level | $60/hr Remote,Crossing Hurdles,EMEA (Remote),Engineering Content Contributor – Graduate Level | $60/hr Remote,hourly,25,15,CAD software experience | Design and manufacturing domain knowledge | Academic content creation for educational purposes | Content licensing experience | Structured educational material development,Should not apply - this is a significant career pivot from ML engineering to academic content creation in traditional engineering disciplines with poor skill alignment.,https://www.linkedin.com/jobs/view/4392887592/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=6KPLhCALssfi84iau8GsPg%3D%3D&trackingId=bVH0yoXgRAHSQVr%2FqHKmrQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Engineer,Tech Talent Partners,European Economic Area (Remote),£80-130k,hourly,25,15,PostgreSQL experience | OLTP/OLAP database knowledge | Workflow orchestration tools | Backend software engineering experience | Production data engineering at scale | Polars experience,"Should not apply - this is a senior data engineering role requiring production backend experience, while candidate's background is academic research ML engineering.",https://www.linkedin.com/jobs/view/4392753904/?eBP=CwEAAAGdU_dpZkhyFDZAg8XLzw45jWcGz3NJO-45inDKs6GkXQiyAU7BkmsA7s6B8psn2uhpZu9Tj2flKXRZ3ZsjHxcSLPMlRXAcMZCMMI5mpRoTjmGGcYR2cTFFCHH3YL7sU5b9X84a5HHeAuUhd5vi--eHTim97uLgaOhTSvU9bSctuxu4BtqhTjhlN1Jqz_JJI6TcIpZ2faBPGkTV6A-YzWLjYfNwbkLxpxan3XMJ_FDGHmvI4gSIBJC6PNb7KYsinSGcNFUz6d1j9AaCJkEC8k_rtcxJaVPTm0XBzd0hWJH1gFvQ-wJrp9RBj3dwG-h1vYghTcxiWx14Q1c_BuDZ9YJNiI2nl5PcyohF0otwWYZyZRjx3oYDv2cWqqKr7aQl4CKTCDb9u5YWA93Gag0_RaCnABVtyyy64tRcWzNTLj2mJJ4P_Fcmg4BYuePeh9cv790NxVfYSeuzf8cdx_mMIMSxfbHXhbXhho7xB-O6TMR_8z6FKoka0fo&refId=6KPLhCALssfi84iau8GsPg%3D%3D&trackingId=FJPQ4YA9FZfx851EjbnyUQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Developer - Audio (Job Req #2026-049),Ross Video,Austria (Remote),Senior Software Engineer | Upto $120/hr Hourly,hourly,25,5,"Modern C++ proficiency | Audio DSP programming experience | JUCE framework experience | Lock-free and multi-threaded programming for real-time audio | Commercial audio products experience (VST, DAWs, hardware FX) | SIMD optimization for real-time audio",Do not apply - this role requires fundamental C++ and audio DSP skills that are completely absent from your Python/ML research background.,https://www.linkedin.com/jobs/view/4364560666/?eBP=CwEAAAGdU_nlCAHjsAewayCN-BmTGXohK1hd0sBUAHqukKMKtUDobqR_fKV1u-CUtQSYIVE_oE0RHfvP2E9dYw4FKkrpRTBiUCOQE8ZVE9j95pvo_qdg5iwPDXRsM9kfp5CNV_S7rnZxQ4v5Eb9HgAS566Rjlmv1zSyBzDE-UfqpuqJ_3NvLuBr_48-WwfyT8nZ3i9AV3msewiq_XzP7QDzReT-aglA8DNyT6LPFA3owiSC_jBuSApUuCP6kY20jBGZPWta9rnqbWyR0eKCJ1JRfk6BwVfIiqZBW7mPrA2pnWRREmp29bftLhtusa4La_BNszSv9oBR8cHgtf-yVVd36ctGN5gUEfC_0JBXo0lzn0xxf6xsbsKgk9oUxXayhSH4uIjacjMFs2z1XOCyA3RDvk02ri5ZU7-aGBdsHGViNtEQUIkPm1zY7jkP6WQeztkodyGDYk485gYN2Lq-mYbnSkiHdac6lsw28sdwhVUpnBQ&refId=T8xj2uC%2BKMHl17osT0J7ng%3D%3D&trackingId=NHHpTR66Mve%2BZ7HOTmeGyw%3D%3D&trk=flagship3_search_srp_jobs
Quant Developer : Systematic Algo Trading Build (Greenfield project) : Europe Remote,Hunter Bond,European Economic Area (Remote),€55/hr - €99/hr,hourly,25,15,Financial markets experience | Energy trading knowledge | Quantitative finance background | Performance-oriented languages (C++) | Financial forecasting | Trading strategy development | Market data experience | Algorithmic trading systems | Back-testing frameworks | Financial risk management,Should not apply - this is a domain mismatch requiring financial markets expertise the candidate lacks entirely.,https://www.linkedin.com/jobs/view/4395880260/?eBP=CwEAAAGdU_o3Bqmi6GpoMSwdlnNjUnnJwsz6s2Nod1GFDphBOqQBjAwsNcrrERr24WxeQqawfe-VDKTnhMDAqAQsyVG1mPh8zyTPMXmxzDDPjwih9DDPtz8igo483mO1Xbtqjqxieg3MMtXvL4RvwcMRWWCvdhGXBnZlFytbP28U9f8VnOgkxUVxQx6IVfEgl3PgrygdDbBdQZC6RG8QmLM5zksxYaOqiUaq0QAQ4-0jK_eJYNiqoJEtHET_yCHbUXwzd2_qKLy2S28YB7PF7RGNMur9MFvIvwYWU-1RadVIHc3-SjkyC4Q7L9OZuO_dauwmQrFC9zUhC5hweA4zU408mTcx227Hx_R5E28TJZnSw4Zs4VSn1aDt_t51aiMJZgWEYtrdC_fGkHtau-zrj-54ztrYj8tXNMLheJXWBlAf5Ge0ZLKMmvcAuAc1BnekTdCH05-_Zt1T00T8qpc&refId=TD3UY9P08fsaRf5QhtLv9A%3D%3D&trackingId=2%2BPRSxcEtbfR74BXaaPH3w%3D%3D&trk=flagship3_search_srp_jobs
Data Analyst (Stata) | Remote,Crossing Hurdles,EMEA (Remote),$20/hr - $100/hr,hourly,25,15,Expert proficiency in Stata SE | Econometric modeling experience | Panel data analysis | Causal inference methods | Do-files development and automation | Experience with economic/policy research contexts,Should not apply - this is a complete skill mismatch between ML/AI engineering and econometric analysis requiring Stata expertise.,https://www.linkedin.com/jobs/view/4381026475/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=uMAArkmjU88nIRUSpPxcgw%3D%3D&trackingId=Cn%2BC3G27%2Bq%2FU0g%2FuNL7IFA%3D%3D&trk=flagship3_search_srp_jobs
Data Engineer,Nordhealth,European Economic Area (Remote),$50/hr - $120/hr,hourly,25,15,PySpark experience | DBT (required) | Data modeling for business applications | SaaS company experience | Databricks | ClickHouse | Data visualization tools | DevOps/CI-CD practices | Client-facing data products experience | Business stakeholder collaboration,Should not apply - this is a significant career pivot from research to commercial data engineering requiring specific tools and SaaS experience they don't demonstrate.,https://www.linkedin.com/jobs/view/4394660742/?eBP=CwEAAAGdU_v7115924EGUYSPDFhqb3isx1fTM0f7AgOrE5dr1Xch4x2CEoBmjRSGHYaHBI9zyXKGKyi9W3vxjRx7wKGnHhBla00t2G-z8gb8ZDzCDmBUdGhZVyPznQ-vxHKpc_4IHUfco2hs5xMJGSsDkB7GohlCcnIt2vxB2iLnDfmo0_KJpPwbHFfrvfQanL8ZHNPysDt_HKMUgi9wNhlyG2UAecHvHEhkfyb03ZMYJLT5KAq0dNl8cQ2zFtGqXEdneTr8sWTIWP9WX5qKk_kphlYrWfkd8Bt2lc7U59EqfxiwIN7rJAgIWuA1i-YNrfqneIb9fhhpmiw6bhQXOKIx-9N5xXqSNdfpR5p8x94gD5xA9YJJS_KB1op1ECcgWOkDiGPBBV6Ah2OnLaxigAeQ7RJ-lmBCvIfwdD6_wA_HtsLu5zK-EIP9_N8dbb3TWjBuWLbMFR1wlLVZB5BZdVV9Y0uTejn9uOMxg_rvy3LGWtNlKAA&refId=n4JUhWTHJRirjOXF9zqyyw%3D%3D&trackingId=p3AunF%2BSiBUzBQEAqdZo0w%3D%3D&trk=flagship3_search_srp_jobs
Backend Developer | Remote,Crossing Hurdles,European Union (Remote),$150/hr - $150/hr,hourly,25,15,JavaScript/ReactJS experience | C/C++ proficiency | Java development | Rust programming | Go programming | Full-stack application development | Production-grade software architecture | System design at scale | Top-tier product company experience,"Should not apply - this is a software engineering evaluator role requiring broad programming language expertise and product development experience, while candidate's background is specialized in ML research.",https://www.linkedin.com/jobs/view/4369837855/?eBP=CwEAAAGdU_wyngVo_OeHDmN5XFZSgbsl0-rBVNf4FEGMwmnEc87zO8ldaNrWfMnM4AdQc1Cy-hyNgjfbBHQhoMQ3oe2YzPQx9n1sLcMhKwfd-ML8f38PF3XHhSFVmj9wItOZIiQDG8eyFTWcQBY6d1Ai3odgNP3JCowGd94-JsaQrZ0kZgKEcYk4Qo1QOZtu9bs8_QL1Rq9NKEa1g_Lj1-WxgsSmx93M-zAX4O2PaPuJN0ZkPM-tuJynyV86bHqGlnz6VI9KY6jockigu3T_O275_Ib7BYiB01n_wVJxx6yphDXO4rJ7Jj8dTaIRW2RXg5QidisvVzmRLU8PfyzlB3ZZ_Pe768aW0NColmDEacUB6PO0qo--vQ3PtemLbZS_P3jbOAMrS0TDccv9cFxONMrlynYPQevcLqwEEEN7X0d-2PTMwqJgP9uzWTz3OikTqv5NlllWWaGp27zgn6mzoYwLZzY_8TZMliHrd2lEmFNpvL6SyaabK6WwnXV3VN4p_Q&refId=BtTH9eiz5QVrsazXSLhK1w%3D%3D&trackingId=ktoB%2BRqOpn4sYnUgCKkRHw%3D%3D&trk=flagship3_search_srp_jobs
Principal Quantitative Scientist (m/f/d),Roche,"Vienna, Vienna, Austria",$85/hr - $85/hr,hourly,25,15,Real-World Data (RWD) experience with EHR/claims data | Epidemiology expertise | Causal inference methodologies | Regulatory submissions experience | 7+ years industry experience | Healthcare/medical domain knowledge | R programming | SQL proficiency | Cardiovascular/Renal/Metabolic therapeutic area experience | Principal/senior leadership experience,They should not apply as this role requires specialized healthcare epidemiology expertise and RWD experience that their neuroscience/ML background doesn't provide.,https://www.linkedin.com/jobs/view/4383762470/?eBP=CwEAAAGdVACZl6PVxn9KjQrLKsRFLvadr0MCEbgaepZb2dp7RdXt_YRIa__LyG9ysL5wDb7mlfWOhOedKn5t1FrqCm3aI8vcgdyVCXbcK0CKUH6wPaKqtkhIRD4Z_oUoH7jmnG3sTqHVPDBUK1_-t_kDERNwXkwjKxjWAPaTNyyvzwHUCn8VZ2atwoYRrzDd1Zd0YDm1t9prBY5yZdxsK90a9vfh5oZ7TNZtXVBUvhyY4jyCJSFOyJkCVNN1tmOYtzOh_hJeFj4AH8YGRXyJPW-Ek6TzxM66KX6gmPK4edGt_6hj7d9kpsgF8SgfchtrfrVFdGIrsLLRg06rkSByetWAUBOM66EZQ-Oy03xlUwjxq98t2-4KHVfvW9hn7Zh1TfWL2xmnYs_4V3bpLskJnh1W-7rpJs6tRJCBVC9nS_ConO3Q61TqKw3w7mgJWAjTuzDvsEKz-jyM8PjVJHI7e3GvuXyJ57mOzfmWJsj13wvoeaBlj7U&refId=PiNN3akXoeM8AeqfW0Q3FQ%3D%3D&trackingId=qON93Gf%2Brk0pYILc5rATCw%3D%3D&trk=flagship3_search_srp_jobs
PhD position Articial Intelligence and metabolomics powered personalized nutrition,AIPN - Artificial Intelligence powered personalized nutrition,"Vienna, Austria (On-site)",$38/hr - $43/hr,hourly,25,15,Bioinformatics experience | Metabolomics data analysis | Biological databases knowledge | R programming | Data visualization tools | Nutrition or health domain knowledge | Experience with biological/metabolic data interpretation,"Should not apply - while technically qualified in AI/ML, the complete lack of bioinformatics and metabolomics experience makes this a poor fit for a specialized interdisciplinary role.",https://www.linkedin.com/jobs/view/4394687080/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=j60AJshNPB7I5kAyZhjmjQ%3D%3D&trackingId=%2B%2BRmLil7rZW%2BQQLw4mvRpA%3D%3D&trk=flagship3_search_srp_jobs
Frontend Developer | Remote,Crossing Hurdles,European Union (Remote),$150/hr - $150/hr,hourly,15,5,"JavaScript and ReactJS | C/C++, Java, Rust, Go | Full-stack application development | Frontend development | System design for web applications | Production-grade web application experience | Top-tier product company experience",Do not apply - this role requires frontend/full-stack web development expertise across multiple programming languages that are completely absent from your ML research background.,https://www.linkedin.com/jobs/view/4369848118/?eBP=CwEAAAGdU_MDFDh5IOxnvHLoXvTFCjdDJJjygQokEOOfNG35RjlYdniVY2mUgHla9K36MqtRAGMWFo2L4Lb1u8k9ghj6EXOacUaVHKnf9iygBTbrXoxtkcuOHVqpNtQPxidQnz7pvwZlThXu0szErzW1guoLqskoCunYMH3gY8FRt4cs313TlFFp6VdOirQVPVO7AqPaxEWIJ2g1s6TbeeCKPN0GnrShLlf4guEVGWUQ9XMY2s5RQ86YYGHKZt6lncp7cJQ5fFods2B3hO1eWJ_t7ocyLCSLsFJpFL19RKJkycmVKt_eDPOzdz4iTgKeoNtANE6luJPqVhk4Dh4q03Vdq2F0YrtW41iCuD4Yp-IgYK_zwMtzoH0vVltXhVkozXONp4MPjWZKyF2QLto8fNRd0JROXB83tjRi4p90QvWXO4pOM67wTdpPTtN_v1iEc7ioiWuUUciGaM5dSkivI4EqdqLQgEK_FedCiFUH65xpRy5KbUjy6iQKtvZye_h6XA7FUPQ&refId=lG5A2iKhnvhuL%2FhB8XOHvA%3D%3D&trackingId=vxKr%2F2RU5EyTAOIvu2wyRg%3D%3D&trk=flagship3_search_srp_jobs
Freelance Software Engineer,Twine,European Economic Area (Remote),$100/hr - $100/hr,hourly,15,5,Shopify development experience | Liquid templating language | HTML/CSS for web development | E-commerce platform expertise | Frontend web development focus | Shopify store customization experience,Do not apply - this role requires specialized Shopify/e-commerce web development skills that are completely absent from your AI research background.,https://www.linkedin.com/jobs/view/4381703703/?eBP=CwEAAAGdU_NKtGBWrN2Ht93KF0cZNo5IPf5nCHa-Du_U-gG_G8q2RZZOXDXTKmoOG4t_g6JDsmkL_hwyEdHaceFGHqBha6kTeabUX72pwKullaISgCUZi6JhmVYBwx-2zVhddXZYHl6lykHZnir8BnPyh79qVgvnXp9DGGzEDAh4ouMEU63Urrh-DMlzdkQwPR3zVSX_GyJ9FXihYYK9qAyx3uZWozCCU0JsTiNMqTCkNDh2cQriiBwGroNITEhjoEDv0PJl1IeX_NDudncMsHuv2BY99t5SdrUPW4Lb_5_v5394YY7tUGOvDnpMahTW6FDXSWC8MxB_komSNv0Fw0yGknfrFv_59IhUxQR3Kup_jI0IsCmyEyIcmH4Mh_V4IPOGedVX3T3cJ4_I20njlFLyNk9SSusvFD0y3G7l8W2C5e_8PPzaWHPgt2LRoXeIByqcAjjtTUgZx7uYFZaXzyeIecyeCGdupnek&refId=hcgJroqeW4FcQtTBhln28w%3D%3D&trackingId=Ny4UrWUSdEJDJnuavvZu9w%3D%3D&trk=flagship3_search_srp_jobs
SQL Developer,InterEx Group,European Union (Remote),€55/hr - €99/hr,hourly,15,5,MS-SQL/T-SQL development | Database design | Stored procedures and functions | ERP systems experience | Custom reporting | Data migration scripts | Performance optimization of SQL queries | Management reporting,Do not apply - this is a complete skill mismatch as you're an ML research engineer and they need a dedicated SQL/database developer with ERP experience.,https://www.linkedin.com/jobs/view/4395033521/?eBP=BUDGET_EXHAUSTED_JOB&refId=DM48ZqdnngiwxTT45GFaqA%3D%3D&trackingId=WKXi70HeDoIO9GaPQoMBnA%3D%3D&trk=flagship3_search_srp_jobs
