Title,Company,Location,SalaryFit Score,Response Probability,Missing Skills,Verdict,URL
Logistics Specialist,Jobs Ai,"Vienna, Austria (Hybrid)",,25,5,Logistics/delivery operations experience | German B2+ proficiency | Business operations focus | Supply chain knowledge | Courier/routing systems experience,"Do not apply - you're massively overqualified, lack logistics experience, don't meet the German language requirement, and would likely be rejected for being a flight risk.",https://www.linkedin.com/jobs/view/4389493670/?eBP=BUDGET_EXHAUSTED_JOB&refId=v%2FR1zKbAsJbyPjNQY7WNSg%3D%3D&trackingId=i61j1f5XLVwS%2FZKGwZTjkg%3D%3D&trk=flagship3_search_srp_jobs
Energy Engineering & Python Expert - Freelance AI Trainer,Mindrift,Austria (Remote),"On this project, contributors can earn up to $33 per hour equivalent, depending on their level and pace of contribution.",25,15,Energy Engineering degree | 3+ years professional energy engineering experience | Power systems knowledge | Electrical engineering background | Professional energy certifications,"Should not apply - this role specifically requires energy engineering expertise which the candidate completely lacks, making it a fundamental mismatch despite strong Python skills.",https://www.linkedin.com/jobs/view/4388286576/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5KtyKCQGJD4mrmG%2BLGZNkg%3D%3D&trackingId=kux4K%2BA01rSkuEc2srkL6w%3D%3D&trk=flagship3_search_srp_jobs
Quant Developer - Mandarin Speaking (Open to Relocation),Hyphen Connect,EMEA (Remote),AI Research Scientist | Up to $90/hr,25,5,Mandarin fluency | Trading strategies experience | Risk management | Financial markets knowledge | Cryptocurrency/crypto exchange experience | C++ or Java proficiency | Trading platform development,Do not apply - the mandatory Mandarin requirement and complete lack of finance/trading background make this a non-starter despite strong technical skills.,https://www.linkedin.com/jobs/view/4389809071/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5KtyKCQGJD4mrmG%2BLGZNkg%3D%3D&trackingId=40j0gyOmUAGywOSloMKcoQ%3D%3D&trk=flagship3_search_srp_jobs
Applied Sciences PhD Intern,Microsoft,Austria (Remote),$70/hr - $120/hr,25,15,PhD in Computer Science | Speech processing expertise | Speech recognition experience | Transformers for speech | RNN sequence modeling | Audio/speech datasets,Should not apply - this is a speech processing specialist role and the candidate has no demonstrated experience in speech/audio domains despite strong general ML credentials.,https://www.linkedin.com/jobs/view/4380904646/?eBP=CwEAAAGdIiOQ5r58RWKy95LcnfLfOe-XXfTQ7FAHWAYtA33mFBOYvDz7zuMVEIJC-5wP-JqPxbswB17yeIZXsmwsO_LbwvibVHWHOe0D55t7IaSqSBr8YLoMzNQM3TP4OE40w7BpQqz8xFW15dC6G9DUV9s5emghNz7NV4hxIjXBeyeILzumXaAx2lzgAsGUTElqK85Vj7kYY5CjTf3fkNL-mRQ1QPmDkA9XgnYut3n_ZXw3r2Lp4o9GO0gKbR4P6a12xlIeI1YLpw1gm1J5vmMKEu5i-MwzBjiEIF6isUBlzPSkaEt4e6G7yb_sAmyPtEn3pQYZphz9P5vNiVxGjb_0LPhSVl81ACXnH32N3cfmfiE8mEEqg7EGD4COy1iYFB_xCGjlBcXiMHKztQvgW9DUSd6uTaxYe4iniPFjjBKgONy2A2VzxvPPqVCcoqEFOHFLdLzbtH1rgTzTzfbInQNKSM4_9-lt4S2ozIyd1i3H7VF8aQ01MHmH40Q8xMBl4GZGE4hlXhlyPuPJJru-q7KMQaIvRjH00Tm_-myluZMaWg&refId=SQUQtFMvRBCrUZBRojyRhw%3D%3D&trackingId=r%2BAnmkUeqVEotfLNy4lQQg%3D%3D&trk=flagship3_search_srp_jobs
Chief Scientific Officer - AI Driven Peptide Discovery,Hartmann Young,European Economic Area (Remote),$60/hr - $85/hr,25,5,PhD in molecular biology/biochemistry/pharmacology | 10+ years R&D leadership | Peptide discovery experience | Biology/chemistry domain expertise | Translational research experience | Product launch experience | IP strategy experience | Team leadership experience | Regulatory/claims frameworks knowledge,Do not apply - this is a senior executive biotech role requiring extensive biology domain expertise and leadership experience that this junior ML engineer completely lacks.,https://www.linkedin.com/jobs/view/4389469816/?eBP=CwEAAAGdIiOQ5nUPPVdvQVLbPn9lDumvFewbvZe_bm41X196oAiRsqdz08dCBS2zbjgz5mKhCIPp8iB_TRIvQMo2lnOikEqm3JWM-dBGqH8ctTuGAQABVkxCbsht6MaBPFV9rBIsc3f6GuVitb77Xs32ze9MGGSC0J4yx2dFNosu-reuM5dTmT-mxfhAaSGEvTCHSl1VprFf5BKZ3p69pQZ69GC-ZGCFlnZjKPSrFVZfNim4-zGNi5TEMwf4jccuwGbIWCs6Jg5XqmBEtadt8PzoAVmDLjtd6o8vLJmRshay58FLF0CBjr6CyCgya3zJuDMQVpun8lL7zu-KlEfjlUma3iog8j37Isn4PS9Yo6izTfAtU41oiUS1AXLfDWkCk0Fevi3eHkP-ro474csSBYfPRFeSD_560tKdxMZtIHmLLLdgLfFrfuk0wf5wm4RqiXKVReNHnRESETYac0HC4ZWz7ZvcQyWsqFp-oDvIXKJCQvyEq8RDTq1bzgYRhTxKHBbZ7A_9bpI-eqqEN-5pv-TwKuciYB6AUro&refId=SQUQtFMvRBCrUZBRojyRhw%3D%3D&trackingId=jSkEVOuisaCV47YyAkCd3w%3D%3D&trk=flagship3_search_srp_jobs
AI Trainer - Freelance Data Annotator,Toloka Annotators,Austria (Remote),"Each project has its own compensation level based on scope and expertise required. On this project, AI trainers earn up to $22 per hour equivalent.",25,15,Data annotation/labeling experience | Content evaluation/rating experience | Fact-checking abilities | Experience following annotation guidelines,Don't apply - you're severely overqualified for this $22/hour annotation role and would be better served pursuing actual ML engineering positions in Austria.,https://www.linkedin.com/jobs/view/4387678673/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=pSEd8dy5lEoBfBbvHVZAlQ%3D%3D&trackingId=UoMZxZD6hbVY%2Bq6wOYwZGg%3D%3D&trk=flagship3_search_srp_jobs
HPC Systems Engineer,Nebius,European Union (Remote),,25,15,GPU performance profiling | CUDA programming | System-level troubleshooting | HPC/distributed systems | Networking/interconnects | NCCL | Kubernetes | GPU benchmarking tools,Should not apply - this is a systems engineering role requiring GPU/HPC expertise that doesn't align with their research ML background.,https://www.linkedin.com/jobs/view/4386888718/?eBP=CwEAAAGdIiPoSHROHSBG-f9MXO0DZp4ol0LvUZZWF0hvktUPUBeOw5TnQGGL_6dXwUg7pBO_1wRYYNMZlAmrZPQe9edO9Jf2HeEnFqIc58OHdpoopMw9acFkhROW4Dpn73GgtN01JHXLme-yirePMrGL8tBuBuqP04rHbpKF2lGP1FtoqOTzD-05B7egSiB6SDpAWaejSJYck52nagaLQBxcgVfR11gAu5FcolMDyo1PMAI4moKtkgtbmVIzOm8xXmrSCeyevXp_H_kRs5g-PpzdlrKST6KNXFNuqJEpPOpHu5w1QuIaoVjGj0VrKLLMpTXAhwUhPlMLdVl_lfE0w2-9pPGAghXmrb5OA-z0-NZ2kgh8nZiun_mjb3wELQGrj8AEstqrrEwSLeOOosYLFoJjngT8Sijh55f7yXgwpCFpalpq6OE5rr0kLPIDSQrlEJPTXkUhZFKzRDmmuzYpT_yDZPpO00Dj74hW8wS7lErp0dARMmGpMSsRSX8BsdMeyqyWEbDYta94ZFBvyfH0KbY-HFdHrSy97FnZYnOs_Jo&refId=pSEd8dy5lEoBfBbvHVZAlQ%3D%3D&trackingId=lBR%2FkcFHFUgwPUATTxO4PQ%3D%3D&trk=flagship3_search_srp_jobs
Internship Artificial Intelligence for Commercial Excellence (d/f/m) - Start as of now,Henkel,"Innere Stadt, Vienna, Austria (Hybrid)","A gross monthly salary in line with the market of €2,798 on a full-time basis, in the case of a compulsory internship a gross monthly salary of €1,617 on a full-time basis",25,15,Business/commercial focus | PowerBI/Excel expertise | Business stakeholder communication | KPI development | Dashboard creation | Currently enrolled student status | German language skills,"Should not apply - this is a business-focused student internship requiring commercial acumen and dashboard skills, while candidate is an overqualified research engineer without the required student status or business experience.",https://www.linkedin.com/jobs/view/4387273130/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=pSEd8dy5lEoBfBbvHVZAlQ%3D%3D&trackingId=6Wpx2r%2FdExnTt90f%2B%2Bldjg%3D%3D&trk=flagship3_search_srp_jobs
Senior Researcher,Bentham Science,European Union (Remote),$85/hr - $85/hr,25,5,PhD degree | 5+ years peer-review experience | Clinical/medical/pharmaceutical neuroscience background | Editorial experience | WOS/Scopus indexed publications verification,Should not apply - lacks the mandatory PhD requirement and insufficient editorial/peer-review experience for this senior editorial board position.,https://www.linkedin.com/jobs/view/4385414774/?eBP=CwEAAAGdIiQ2CXlLdCK_KAFjE2uA2rnQ3-OdubWhBATiItiogVyfp1HbOnu4KTRZ1WrQpac1RZjBuUo-4m3sgVxUpBI2ly1E7o47gkI3-oUo2i9XEauYpbPQkSzKhvhKActzPy8rUDLNnXz9L4zbhnehpGJQ3k8CN7pc8KPtgz_HXY_oiJEIuHM79iqN7TCdazsy0VSNKDpP4cDMjcffEo-IKPXKyBv_EWiEM1LY-jXODGgrJ5bmp45Pe7OxHGuhgnHz7afm1ZWi_MxpTbV54BsklPi2OxDLye06kBqhWlidXsRnPCQ7t7z8ZjO9AmRF1A0Nx3j3RI6VtSne-7KIY4RBqhQcT7xrjg5WZMF7i7y4TVPv2OohtHiiNRCTwMt36kx5vN610e2Er0rX4p22iUm9qm4VOlwt_ZRq458cLQhzueIEYXuMizkKBcaygq32bn8RV0UvTgnIx7yvnpH7JVnzVXPBjO4aZ1a8XpR7RMWse3O1UkXJypwk85LlT4iIJHVHoitIRhG7MWXxhFbCyeyeFOnkCLzdjWPdBnZp7VdeMuON29g&refId=ml%2FcUSoVvfJqr8XQllTeaQ%3D%3D&trackingId=nXtKm%2FJoQJbzOj3ofBbmdA%3D%3D&trk=flagship3_search_srp_jobs
University assistant predoctoral/PhD Candidate,University of Vienna,"Vienna, Vienna, Austria (Hybrid)","Excellent written and spoken English. What we offer:Work-life balance: Our employees enjoy flexible working hours and can partially work remotely. Inspiring working atmosphere: You are part of an international academic team in a healthy and fair working environment.Good public transport connections: Your workplace in the center of beautiful Vienna is easily accessible by public transport.Potential for development: Success in life depends on what you make of it, but if you are ambitious and successful, there are plenty of opportunities to connect you to all relevant top research groups in the world in quantum information, quantum technologies and machine learning.Internal further training & coaching: The Vienna Doctoral School as well as the Department of Human Resources offer plenty of opportunities to grow your skills in over 600 courses to choose from – free of charge.Fair salary: The basic salary of EUR 3.776,10 (full-time basis, 14x p.a.) increases if we can credit professional experience. The employment duration is 4 years. Initially limited to 1.5 years, the employment relationship is automatically extended to 4 years if the employer does not terminate it within the first 12 months by submitting a non-extension declaration.Equal opportunities for everyone: We look forward to diverse personalities in the team! It is that easy to apply:Please send us the following mandatory documents:",25,15,Master's degree in Physics | quantum information theory | quantum foundations | quantum phase-space methods | PDE simulation experience | theoretical quantum background,"Should not apply - this is a theoretical quantum physics PhD requiring domain expertise the candidate completely lacks, despite strong technical skills in other areas.",https://www.linkedin.com/jobs/view/4387556320/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=ml%2FcUSoVvfJqr8XQllTeaQ%3D%3D&trackingId=fXQdfYjdZzPqZxc%2BTbfNRA%3D%3D&trk=flagship3_search_srp_jobs
Delivery Network Operations Specialist,Jobs Ai,"Vienna, Austria (Hybrid)",,25,5,German B2+ proficiency | Logistics/delivery operations experience | Network optimization experience | Courier compensation/routing systems | Operations management,Do not apply - this is a complete career pivot requiring German B2+ and logistics domain knowledge that the candidate lacks entirely.,https://www.linkedin.com/jobs/view/4389491737/?eBP=CwEAAAGdIiSUGjqOc1mMXuMyYD3d2ESffW12TpWr5J7umZZtbjWnQ63CUvQD9epWV5w0EYEJdkKZoCM9EhgK30qDIOi5M7YQU39NhCrq-B8jpzNpxWpExFUDEa9-OtjIQKto7KgGkejVm5YAa86f8DygMFEcFqvihmFqtwKWWkOAU_ZaIHuuqJ1ci0obIS8eHrB98s9OR0hEJ7a--F4lgpFdh4iuLl-VvJBBB8ey4JM5wWlOD0HVxYo-ewN21-N0S_S9rHr8k71HFhQ-2ywsPa8DzUOZLfPDKFQZ-3r2FQ9vJVNMURsoD9X-HrkLzc8ar94RuMLZ1TT92Y7APdJU00vC0qnxjfcf0_hT7BesPDZu1QeErh1kdgCDRJSXkpXMXn7pCU9xjkfZJMiaQ79G_8e720wLx9Pks6rE6P-7oDXlhNXNp581ib4dJBuJUlDvlEnc-_AKRO8T0u8qQqunwghP4aPWups5zSSWZ-YIAhQrVbKJlmmbWJ0E3FMh0GVxutRX__AcliEmyA_e7b0XTQQTgYWfx_ZZhAgqRWV2SmX0_cMK&refId=s3VeRXV8sLW3A6SLW4a21w%3D%3D&trackingId=SlNPUc8IOFSf8jdmdZJxqg%3D%3D&trk=flagship3_search_srp_jobs
AI Production Lead,Simple Life App,European Union (Remote),AI Research Scientist | Up to $90/hr,25,15,Product Management experience | Creative production/marketing workflows | Paid acquisition experience | Generative AI (video/image/audio) | Performance marketing metrics | Stakeholder alignment across Creative/UA teams | AI tool evaluation for business ROI,Should not apply - this is a product management role requiring creative production and marketing experience that the candidate completely lacks.,https://www.linkedin.com/jobs/view/4378375885/?eBP=CwEAAAGdIiSUGqbN0pxpmapUIff4o7SP2Dmv4JeTpMb-Si9PyeOznKzhOaaJaaTYf61avJwSl3iq6Dzwz1nceSASABFimk_bE3EJlI8jgot9YitwACe0ENHyhF_LGPwi7NTMTug5H-XyFIo4kEswM8BYyLf8tkh7Ik_fts4N_0byiRYCZI3dTu_wEQ8Mshaiyq2J4e1gVtPGvWZ6DjW-lou9hCg4X24ObvZ9VXwXgt909UaejnBq1l6nElZP4WmoVL0H_nXMlTxgRF1TC11QsiyiULQrX6b69IYINHfeCABtPx96QvNXBNDgIf9dPeQtMbcxKq915VsDtcCzclUmIsdzMBmZLwAoBfV0YaMQNHHWy46uEX6ncj-0DHBKOPHmx7vP2HVtrGCX68uDtmvr3Zt_8wfnCqbdxawTYXF6ZDl2tj0P57M8dqTfwwLyeSOb3T-1TpQNsmkElrbSs3fKAstichOqclVXtsJnXzLAGt7PdeZHADXArqRavjw-j7iYvADAafO50kJZCf0fQEWZg6OZrn57H8T6Jx3ZuNA-vUkaGHgOY1I&refId=s3VeRXV8sLW3A6SLW4a21w%3D%3D&trackingId=Ie9FkqfW2jDVMeSC7UZCVg%3D%3D&trk=flagship3_search_srp_jobs
AI & Security Manager,agriportance GmbH,European Union (Remote),"The expected annual salary for this role is between EUR 30,000 and EUR 40,000. The final compensation will be based on your experience, skills, and qualifications.",25,15,Cybersecurity expertise | Penetration testing | Vulnerability scanning | ISO 27001/9001 compliance | Microsoft Purview | Data governance | Security monitoring | Risk assessment | Incident response,Should not apply - this is a complete career pivot from ML research to cybersecurity management with no relevant security experience and the salary range suggests they want someone more junior than this candidate's research background.,https://www.linkedin.com/jobs/view/4385435932/?eBP=CwEAAAGdIiT8P9ubyRSVQ5BlT_6x_X_1XYJU51-wREw5BMnsTdK0wY-34LJjiq5wN0ffJBA37aNcv3QPnQ276Ss70uNmsZzlciy0B_saFkC0kDkPqMShEGI5od5z0S46pSfMOXvYRS-G3aB3j5J-GWS78uFEAlIN9eY3ZFIgh_2Zrdfaeg9bmH746pOPNuUjEoty_D-905ASDIkFPk5XiRB_SE5s4YbUiSOYOYGPqXTX5PG-Wmcz_goCNgB3l8u_yamttPV-WIc_u72ucgFlKOYQCK3SkjHaleDpH4YW2M-iKG-zk_zsmy4SSZU011STXn9XII1lJmZ-OxECLlroXVS-TsIh4tU2jF8YNBR42bC1LB82G2CnCY074nS04Lf7Wc1iMK8vq2PaKrEGKthHK9-yAF85lslWfH6nY4Z_CWCWVbaX6l6r1vHU10pAd89RdQLNBbIVWxBY6qFNefM3CMAGnuLwWvej9eQaZCO6lgBsoEn-iyx-qCJQtT_ppJDyYDXg6PKaGRrZCQhzxmPTJ6DHv79q4CxBWcjw5gtODjbvpg&refId=3EVLtixERRHS6UhsDWc5bA%3D%3D&trackingId=VZgEF3CIrDSsrXtF4zQ%2B3A%3D%3D&trk=flagship3_search_srp_jobs
Data Architect - RELOCATION TO MALTA,Archer - The IT Recruitment Consultancy (Malta),European Union (Remote),,25,15,AWS (4+ years) | Snowflake (4+ years) | Data warehousing/dimensional modeling | Airflow/dbt | Enterprise data architecture (5+ years) | Star/Snowflake schema design,Don't apply - this role requires deep enterprise data warehousing and cloud architecture experience that this ML research candidate completely lacks.,https://www.linkedin.com/jobs/view/4389058884/?eBP=CwEAAAGdIiT8P153yyLqkxiEXOisTRJQhHOFtDLeyU3D_xIiATxU67KNm8xpnJRgwjrqXDcLbYQ34ogHGBpfYbtJp6-vKuqBpHbIaRl69Mvfz8AVd0PRgmluMZo0jPPIxDRku32Irt2pXNhXfxrDua1zLKINJXk9lt2__ABRfC0UmXfC3tFkzHmjRQBj5j9UoCTsnNyzDWQYPlC01gq76xGTDENoaD8V2aL8vIwiMH5crNIyOREr_JlH4uH_pZmDsDCx27kDM9vWibGJiFunsZQ8EK94Vc9z5DBWUmCLgMtRdhahkn7vVNvue4lCBrALDPizsAEK7l4COC49KbsF9ZAo6IHkwwi6TLfgv8Dn0M4K0BXuDMas_XPrJOGhynupstgXKHIWI07aXC5ZhUO3fNBc_r2PB-HNmBgcwREgRyCIyW5YL8QYxtEeSkRA9t3mthlY5I86fAHjfq9OG8PNdnLhRB5FwbAg4F2V7D6WvV0wAb16Sq5CkVDORghdCgxYp6VirXkTTlbzV1mY2IsFaBpuM_VCuKyAzB1tKA&refId=3EVLtixERRHS6UhsDWc5bA%3D%3D&trackingId=CBKhGiEy9iA7qgyYvjI6eQ%3D%3D&trk=flagship3_search_srp_jobs
Backend Developer (f/m/x),IBM,"Vienna, Vienna, Austria (Hybrid)",,25,5,Java Enterprise (minimum Java 8) | CI/CD pipelines with Jenkins/Maven | Relational databases (MySQL) | NoSQL databases (MongoDB) | Container orchestration (OpenShift) | German language (sehr gute Deutschkenntnisse required),Should not apply - this is a fundamental skill mismatch requiring Java Enterprise expertise and German fluency that the candidate entirely lacks.,https://www.linkedin.com/jobs/view/4375220362/?eBP=CwEAAAGdIiViHpmZZSgyAWmI2qaonmH3SX0pKePmWMXbXNKK8cKfRSrzQHAbmL7rlm6GHdhzHBAlnW_s6L6vbjAEgcrHuiQhnnFs59z702KW1sMF7O8YwajWGpCqhGIAy1c7qBQf-hxbJYf_v-Yt3UWkqcf3oqoC3D3KiD6K6Ta6p0tRrjqYwCI-QSSjuwVHlHYQsL8af5RhRwS2Cqcu2E3he9vugR0c-anQEnxv5-aa4zmrRu9Ss5gj0nT76071sVBPlzlqb9VH3ih2rE3jIuRWc48J0sQVszN72QJUlRUR_v4t2e-ZkqcWUkJHSr36eufQlReAzlAogNJ0PU1m37uBoyWmyTjuca_C0jQx9k5lXx3FpmawETKTfaoyySwTw9TkMHyv2WvLQNed5wReISMvL1IFKAyT4xXN2demBlYxLIpUxd4klEq14S8LUcgW3BTUXRuEBgIMmk4ziv16cobC3xbyrJV54tG2xtJmC_86wA5KscOcwDSSKOpa5w6Ysk9_9SdrOZhBNgU1K2FEi7DMRfA9VdzbbmrUscQS&refId=1OWbSZa5SBuY2vQx16u58A%3D%3D&trackingId=NdZXkFHk5hFy8r%2F1NonDdg%3D%3D&trk=flagship3_search_srp_jobs
Clinical Data Engineer,"Kelly Science, Engineering, Technology & Telecom",European Union (Remote),$80/hr - $90/hr,25,15,SQL expertise | ETL/ELT tools (dbt) | Data modeling (fact/dimension tables) | BI tools (Tableau/Power BI) | Clinical/healthcare data experience | Data governance/GxP compliance | Structured business data experience,"Don't apply - this role requires a data engineer with clinical/business focus, not a research ML engineer, and you lack the fundamental technical stack they need.",https://www.linkedin.com/jobs/view/4386862372/?eBP=CwEAAAGdIiZki6dHz9E7owt7T3YAqbZyOj2cuolj2Df0u5ZPYgUdT8lzconClOXKgcjBjXhFWrn5v457CbT3GNiYOZFiZI7jjQ1ZThOzAcoG4CcwH2RLS-Na-PaSV547m1nm3qN1slGuN_FoW2UL0TNYMwbXJcHVYCvPwEgqb6CEO593LnM8bZR26VFz1Mv52RpaVZTa0dSg4O4Qh8LnE1iB8Ih9IGdpbKooad8OSmp8LyQ5rfq9nLZZmDt0de1ghmuv1pRy7T04rv-HDgIrO0PVeRQgcoz3MMISlR8QMHixtPgF6BQSrlgKkb7Cgc_3_ntoejZTzwyb49MXIZy2icnDq-OnNp8ykru569zgbbtOW8nb8CiF8nNXElPDsWd1vK3dbOLEWdJd6TuLxJKBOJAgxiC1ggKm88LexjwEmbFTRDW1OLscQeEN3UfJhEqVnjw33Qh1Xs_2Xekr_Z9-Gru7hSHTT78vAOWiPmdM48-0TxSWyAIQn6mx-KeL-T30OqRIhk3kr1xT3QkOdx5J4ZxOxBsDi-sxR2sBIw&refId=kZi%2BOvi4Cxa%2FJQJSr7wCZA%3D%3D&trackingId=rkDnXl2pR8fUsJb8Risc6g%3D%3D&trk=flagship3_search_srp_jobs
Trading Analyst,Chainsage,European Union (Remote),$100/hr - $200/hr,25,15,Trading experience | Crypto market knowledge | Financial markets understanding | Risk management | Portfolio optimization | Trading algorithms | Market making systems | Shift work experience,"Don't apply - this is a complete career pivot with no relevant trading/finance experience, and as a non-EU candidate requiring visa sponsorship, you'd need exceptional domain fit to compete.",https://www.linkedin.com/jobs/view/4387496897/?eBP=BUDGET_EXHAUSTED_JOB&refId=kZi%2BOvi4Cxa%2FJQJSr7wCZA%3D%3D&trackingId=1j0pi06H6OziK0BjoNfQYw%3D%3D&trk=flagship3_search_srp_jobs
VIE-Digital & Sales Data Analyst(M/F/D),Air Liquide,"Schwechat, Lower Austria, Austria (On-site)",,25,15,Power BI proficiency | Excel/Google Spreadsheets expertise | Salesforce/CRM experience | Commercial/sales data analysis | Pricing strategy experience | Dashboard creation for business users | German language skills,"Should not apply - lacks Power BI/Excel expertise, commercial focus, and most critically, is ineligible for the V.I.E. program as a non-EU national.",https://www.linkedin.com/jobs/view/4389212088/?eBP=CwEAAAGdIiak3gv_82HYRjsDxZwDYW5ikQ--XhQL5An4FPcsmr7J1MQtUi8OTsH0wEIyYhPyjm-iw-kbb1qJuxvgkE3bUJ1FO260saAXOVb4L9Fo8aczWZx-1PvuFn1n_F2Op169Bm5tBJEP9ZQMTnQkuR6dOOBkKBqyBNbFl7EIDWqsk4v2B0GD1g4I8xSMZ4VQp-OyW8-2ZoKw0NdGOpwvel-PJ6f1zipNaf2LrO-PNTuZxCcwesKUFJtUXgFzWk8XuV_BafsAOm1lxsl9i1w9ICMXjg_SxijTO32GyzM8MlUCyv2XWW07_KYvY-eLK3NPuf_EfXynaOqK2AGjvLBKhzKCi-mKAq2mItEduA2gIJgsVaZrA0LLTPSNfumPZZTEM1nfIZU4D3InuBWLVDvzncR01ImhBsc515aNJ1eTqylJiFXPMSN4b3rVACQVaobJQTQoqyKXM-9fNBgexWoCOgAQ3yRoPFT-lJa3H6XTMJkERB-tVgCDXDRJIoV91WJqbsyYufMKmceqiI4U_PGGtoGTQOWZa0a_Dc35L0gyhA&refId=gU6zF%2FMpTXte31mH52oM5g%3D%3D&trackingId=o6RBbtFwvk9tCAtzv4CC5Q%3D%3D&trk=flagship3_search_srp_jobs
Data Analyst,RedCore,European Union (Remote),,25,15,SQL proficiency | Tableau/BI tools | Excel/Google Sheets pivot tables | Traffic tracking knowledge | ClickHouse | API experience | Jira/Confluence,"This candidate should not apply - they're overqualified for a junior analyst role and lack the specific business analytics skills (SQL, BI tools) this position requires.",https://www.linkedin.com/jobs/view/4389561384/?eBP=BUDGET_EXHAUSTED_JOB&refId=gU6zF%2FMpTXte31mH52oM5g%3D%3D&trackingId=n%2FehsHt77M%2FiALVULyUNsw%3D%3D&trk=flagship3_search_srp_jobs
Founding Engineer – SF Hackerhouse (Visa sponsored; $3M pre-seed),Clera,"Vienna, Vienna, Austria (On-site)",,25,15,TypeScript | React | Cursor | Supabase | Prisma | Frontend development | Full-stack web development | Customer-facing product experience,"Should not apply - the TypeScript/React requirement is non-negotiable for a founding engineer role, and the research background doesn't demonstrate the web development skills needed for this product-focused position.",https://www.linkedin.com/jobs/view/4389420620/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=gU6zF%2FMpTXte31mH52oM5g%3D%3D&trackingId=NUmM%2BZ3i5FqLJt0KuJvrjQ%3D%3D&trk=flagship3_search_srp_jobs
Master Thesis/Internship - Computational Fluid Dynamics (Biotechnology/Bioengineering/Bioinformatics) - (w/m/d),Takeda,"Vienna, Vienna, Austria",,25,15,"CFD/Computational Fluid Dynamics | Mixing processes with insoluble solids | Hydrodynamics | Scale-down experiments | Physical measurements (density, buoyancy, sedimentation) | Bioprocess engineering background | German language proficiency","Should not apply - this is a bioprocess engineering internship requiring CFD and experimental skills, while candidate has ML/neuroscience expertise in a completely different technical domain.",https://www.linkedin.com/jobs/view/4376972364/?eBP=CwEAAAGdIibpqX8jyVGDnp-AzQHgKGT5Qb9xtMRv8C1eT4mLFPRNz6wX_TXrI6IndpiEim2LQ1DiTezxjRt9hrJP5TRXPTdo4ib2NHQV8JNE7l_wLDlyuLtDG1YlQIVsTkgMIkD84a5sDZ5_UU37Lm4o9BnIaRWJJfwqlRITbtfjeV5RCpUnewdILHjTrceTzUIvgCAyDl5nSaeXfnJbIQvk0Cv95X6bMpVnkAytpbALc037W6iFkwGaNZ10B-QOl2IrCWRKE6gOiM0W2v9a1PxpU696mXzEa47o8PcKPxkvk6Xb7XyGfocusjMRL1EmyXCSQm_4qTWUlk4ZC9HAqRjm4khrIYlWTh9_P8UQk5ymkYZWTUcNTldtim0YlgI7pyJb-nn12SrIStqwUp5Oqr11jP2nZBBtmuuy3f_FISYaEu20xyMv28KuucdMdEHFizirAMFhyawtYhju56GrTy12A98YdEqmTaoYjsZuDJeHMPCklf5ihjIVZJn4mpZqUYfLTH9aaMrHYex_XwRBPOgmy-P6_Vow3TFIU_dHMXLHnQ&refId=guGioWkpFvcIn8mjPi2mmw%3D%3D&trackingId=b7lPmAzd8qV58Yja1geWAw%3D%3D&trk=flagship3_search_srp_jobs
Technical Customer Support Manager (m/w/d),Trayport,"Vienna, Austria (Hybrid)","As per the collective agreement, the minimum salary for this position is €45,738. However we are willing to pay more based on experience and qualifications.",25,5,Technical customer service experience | German fluency (only A1 level) | Client relationship management | Financial services/trading domain knowledge | System administration | Log file analysis | Shell scripting | Customer-facing communication experience,Do not apply - this is a customer service role requiring German fluency and client management skills that you completely lack as a research engineer.,https://www.linkedin.com/jobs/view/4389582971/?eBP=CwEAAAGdIic_LdLud-2hqZq4mvIreDW788Q-FkEIyIkjHDgMUFayAYc9nqw_Dc4Z-ZD5cy53HA3JxicegUFr4aKWRid3W0ncC6P1H_uP8X6lGE8aV0LbGlMrwos8M4-fp27hHKsmE3DlioEioK5it7cFZgGv7txDeVCZugNkGzeyURL7tNU6U2MRZS6WpJBrDm8IyMj7jAZU4I0J2EXfDR4chxQmuIS7OrqGxTw-aUKXHb7JbYbpeT0Cdpu4B3kK7KMfnmLuM9rysIa-uwzNNvYLlIhbPX6ltxP_IvikuSDu3TfzCfZlHTgzoFTgsKRbJv5qNunIAB5RJ8fBx-M0sKU7PukC48T1SfHMuFVSdtoNArK5lcpnYuvUvD6x9NveGFAoNDKbATrd2mEAlsBFGpk8YYNQZF7RMBnQQTkXpfGFCg1GhAqa6ILXm8eWXDNMHu-dS1u5v-vKPQevjd3_jrXMB83KVeXa6W1lU7mGJ3PbWQVekfScsy8C_x9bGRbpexsGi1Vpwb11Tj3hB5dR91g-Gln_N2KGoq9JvsbVkAw&refId=11eNYtjaHVZ2rr%2BY71R5hQ%3D%3D&trackingId=c%2FUHByXOrJHJaz%2FnpZsymQ%3D%3D&trk=flagship3_search_srp_jobs
