SKILL GAP ANALYSIS
============================================================

   16x  German language proficiency
    1x  Confidential information handling in corporate context
    1x  US business hours availability
    1x  German language proficiency (job requires very good German)
    1x  Robotics hardware experience
    1x  Humanoid robotics knowledge
    1x  Current student status (candidate has 4+ years professional experience)
    1x  Mechanical engineering/mechatronics background
    1x  Experience with robotics frameworks and hardware platforms
    1x  B2B SaaS experience
    1x  Healthcare/regulated environment experience
    1x  Product requirements writing
    1x  Success metrics definition
    1x  Customer discovery and validation
    1x  5+ years experience (has 4+)
    1x  Expert SQL and database operations
    1x  LangChain framework experience
    1x  MLOps practices beyond basic deployment
    1x  iOS/SwiftUI development
    1x  Android/Kotlin development
    1x  Native mobile app development
    1x  Mobile app deployment to app stores
    1x  Retail/e-commerce domain experience
    1x  Mobile-specific CI/CD pipelines
    1x  Professional cleaning industry experience
    1x  Team leadership in operational/service roles
    1x  Customer service experience
    1x  Cleaning quality standards knowledge
    1x  Staff scheduling and planning
    1x  Complaint management
    1x  German fluency (very good written/spoken required)
    1x  Driver's license Class B
    1x  Intercultural competence in service context
    1x  Risk management experience
    1x  BCBS#239/RDARR regulatory knowledge
    1x  Data governance expertise
    1x  JIRA/Confluence
    1x  Data validation/audit experience
    1x  Financial reporting systems
    1x  5+ years Android development
    1x  Expert-level Kotlin
    1x  Material Design 3
    1x  UI component development
    1x  Accessibility (A11y) implementation
    1x  RTL support
    1x  Mobile design systems
    1x  Screenshot tests
    1x  Compose UI tests
    1x  Any mobile development experience
    1x  Finance/Controlling domain knowledge
    1x  Data integration platforms (ETL/ELT tools)
    1x  Process automation/RPA tools
    1x  Low/no-code platforms
    1x  Cloud services experience
    1x  LLM and Agentic AI solutions
    1x  SQL-heavy data engineering
    1x  PhD in Mathematics
    1x  Numerical analysis of wave phenomena
    1x  Boundary element methods
    1x  hp-Finite element methods
    1x  Fractional operators
    1x  Excellent German language skills
    1x  Grant funding acquisition experience
    1x  Service teaching in mathematics
    1x  Werkstudent status (currently enrolled student)
    1x  German language proficiency for deutschsprachigen Lebenslauf
    1x  Jira/Confluence experience
    1x  IT hardware management
    1x  Service management tools
    1x  Project management coordination
    1x  Internal IT support experience
    1x  Penetration testing experience
    1x  Web application security testing
    1x  Infrastructure penetration testing
    1x  Burp Suite or intercepting proxies
    1x  C2 frameworks like Cobalt Strike
    1x  Vulnerability scanners
    1x  Network security knowledge
    1x  Active Directory expertise
    1x  Database security
    1x  Firewall configuration
    1x  German language proficiency for reports
    1x  Cybersecurity certifications
    1x  Red teaming experience
    1x  Incident response knowledge
    1x  MD/PharmD qualification
    1x  Prior pharmaceutical industry experience
    1x  Medical Affairs/MSL experience
    1x  Healthcare professional engagement
    1x  Knowledge of cardiovascular-metabolic diseases
    1x  Regulatory/compliance knowledge in pharmaceuticals
    1x  Medical writing and review experience
    1x  Austrian driver's license
    1x  Field-based healthcare engagement experience
    1x  Electric propulsion systems experience
    1x  Ion Thrusters/FEEP/HET/PPT knowledge
    1x  Plasma physics background
    1x  ECSS standards knowledge
    1x  Space industry experience
    1x  Satellite systems engineering
    1x  Hardware/physical systems design
    1x  Mission operations experience
    1x  Certified Community Health Worker credential
    1x  Community or public health experience
    1x  Patient care experience
    1x  Knowledge of community health practices and protocols
    1x  Experience with electronic health records
    1x  Public health data systems familiarity
    1x  Healthcare domain expertise
    1x  BI/visualization tools (Tableau, Power BI, Looker Studio)
    1x  CRM platforms (HubSpot, Salesforce)
    1x  Data warehouses (BigQuery, Snowflake)
    1x  Automation tools (Zapier, Make)
    1x  REST API data extraction
    1x  Business intelligence analysis
    1x  Client-facing experience
    1x  Professional services background
    1x  Pharma marketing experience
    1x  Brand management experience
    1x  Marketing strategy development
    1x  Cross-functional collaboration in commercial context
    1x  Fluent German (sehr gute Deutschkenntnisse)
    1x  Sales/commercial mindset
    1x  KOL relationship building
    1x  Marketing campaign execution
    1x  Business reporting and dashboards
    1x  Data storytelling for non-technical audiences
    1x  Explicit statistical consulting experience
    1x  Data privacy and ethical AI knowledge
    1x  Kotlin
    1x  Spring Boot
    1x  SQL in production SaaS environment
    1x  Technical leadership role experience
    1x  SaaS product development
    1x  Code reviews and team mentoring
    1x  Cross-functional stakeholder alignment
    1x  Pharmaceutical industry experience
    1x  GMP/regulatory compliance knowledge
    1x  Analytical test method development for pharmaceuticals
    1x  Coagulation analyzers and pipetting robots experience
    1x  LIMS systems experience
    1x  Quality control charts specific to pharma
    1x  Biotechnology/Biochemistry domain knowledge
    1x  Fluent German (requires 'sehr gute' German skills)
    1x  10+ years project management experience
    1x  Change management expertise
    1x  PMP/PRINCE2/Prosci certifications
    1x  Multi-stakeholder project leadership
    1x  Business/commercial project experience
    1x  Energy industry experience
    1x  Strategic change execution
    1x  Program leadership
    1x  Stakeholder engagement at executive level
    1x  Modern C++ proficiency
    1x  Audio DSP programming experience
    1x  JUCE framework experience
    1x  Lock-free and multi-threaded programming for real-time audio
    1x  Commercial audio products experience (VST, DAWs, hardware FX)
    1x  SIMD optimization for real-time audio
    1x  Nuclear engineering background
    1x  Fast reactor technology knowledge
    1x  Nuclear fuel cycle experience
    1x  Accelerator driven systems expertise
    1x  Nuclear safety and regulatory compliance
    1x  Nuclear power plant operations
    1x  Fusion-fission hybrid systems
    1x  Nuclear materials science
    1x  Reactor physics
    1x  Nuclear standards and regulatory frameworks
    1x  German native-level proficiency
    1x  Content marketing experience
    1x  Online marketing expertise
    1x  Social media marketing
    1x  Negotiation skills
    1x  Office software proficiency
    1x  Media/publishing industry knowledge
    1x  C++ programming
    1x  HLS C++ and High Level Synthesis
    1x  Vivado/Catapult tools
    1x  Video codec hardware/software design
    1x  Verilog/VHDL design
    1x  Hardware design experience
    1x  FPGA development
    1x  Geological domain expertise
    1x  Laboratory geological instrumentation
    1x  Geological mapping and cross-sections
    1x  Field sampling experience
    1x  Core inspection/logging
    1x  Drill cuttings analysis
    1x  Geological sketches preparation
    1x  Geophysical/geochemical survey experience
    1x  Android development
    1x  Kotlin programming
    1x  Android Coroutines/Flow
    1x  Hilt/Dagger
    1x  Room database
    1x  MVVM/MVI architecture
    1x  Mobile app development
    1x  5+ years Android experience
    1x  Published Android apps
    1x  Audio/media processing on Android
    1x  Plant systematics and phylogenomics expertise
    1x  Wet-lab genomics experience
    1x  Plant comparative genomics publications
    1x  Taxonomic focus on land plants
    1x  Genomic library preparation for long-read sequencing
    1x  Gene and species phylogenies experience
    1x  Plant biology domain knowledge
    1x  Scala programming
    1x  Apache Spark
    1x  GCP to AWS migration experience
    1x  Data engineering seniority
    1x  Financial markets experience
    1x  Energy trading knowledge
    1x  Quantitative finance background
    1x  Performance-oriented languages (C++)
    1x  Financial forecasting
    1x  Market data experience
    1x  Algorithmic trading systems
    1x  Back-testing frameworks
    1x  Financial risk management
    1x  Speech recognition and audio processing expertise
    1x  Experience with Whisper, wav2vec, HuBERT architectures
    1x  Modern training techniques like LoRA, RLHF, distillation
    1x  Clinical AI or healthcare domain experience
    1x  NLP and speech synthesis background
    1x  AI-native workflow tools like Claude Code, Cursor, Copilot
    1x  Deterministic Networking
    1x  Time-Sensitive Networking (TSN)
    1x  Time-Triggered Ethernet (TTEthernet)
    1x  Safety-Critical Systems
    1x  Industrial IoT
    1x  Automotive Systems
    1x  Aerospace Engineering Applications
    1x  Real-time Systems
    1x  Network Protocols
    1x  Hardware Integration
    1x  .NET development experience
    1x  Web and mobile app development
    1x  Technical project management from conception to completion
    1x  Client-facing project management
    1x  Ticket management and triage
    1x  Release coordination
    1x  Customer onboarding
    1x  Budget and milestone tracking
    1x  2+ years technical product management experience
    1x  B2B product strategy experience
    1x  Cloud technologies (AWS, Azure, GCP)
    1x  SaaS product experience
    1x  Go-to-market strategy experience
    1x  Product roadmap ownership
    1x  Customer-facing product experience
    1x  Team leadership in corporate environment
    1x  Dashboard development (Power BI)
    1x  Cloud technologies
    1x  R or Scala
    1x  SQL database proficiency
    1x  Healthcare/diagnostics domain experience
    1x  Business-to-Business Communication experience
    1x  Client and Vendor Management
    1x  Project Management Tools usage
    1x  General business operations experience
    1x  Administrative/support role experience
    1x  Availability during U.S. business hours
    1x  Expert proficiency in Stata SE
    1x  Econometric modeling experience
    1x  Panel data analysis
    1x  Causal inference methods
    1x  Do-files development and automation
    1x  Experience with economic/policy research contexts
    1x  Expert-level SQL (only mentions LeetCode SQL 50)
    1x  MLOps deployment experience beyond basic Docker/FastAPI
    1x  Business-focused data science problems across multiple industries
    1x  5+ years requirement (has 4+ years)
    1x  Space sector knowledge and experience
    1x  12+ years work experience (has ~4 years)
    1x  Economics/Political Science/Law background
    1x  Policy analysis experience
    1x  Budget and contract management
    1x  Space industry understanding
    1x  Strategic planning experience
    1x  Think tank or consultancy experience
    1x  Advanced SQL experience
    1x  Tableau or data visualization tools
    1x  A/B testing experimentation
    1x  Business analytics/insights role experience
    1x  Stakeholder management and C-suite presentation experience
    1x  Supply chain or e-commerce domain knowledge
    1x  Excel expertise
    1x  Business recommendation focus
    1x  PySpark experience
    1x  DBT (required)
    1x  Data modeling for business applications
    1x  SaaS company experience
    1x  Databricks
    1x  ClickHouse
    1x  DevOps/CI-CD practices
    1x  Client-facing data products experience
    1x  Business stakeholder collaboration
    1x  Snowflake
    1x  Google Cloud Platform
    1x  Java with Spring Boot
    1x  Kafka
    1x  Supply chain/retail domain experience
    1x  Data engineering focus vs ML research
    1x  C/C++ proficiency
    1x  Java development
    1x  Production-grade software architecture
    1x  System design at scale
    1x  Elasticsearch administration
    1x  TiDB/Doris experience
    1x  MySQL administration
    1x  Redis administration
    1x  MongoDB administration
    1x  AWS database services
    1x  Database performance tuning
    1x  Database cluster management
    1x  Database disaster recovery
    1x  5+ years of database operations experience
    1x  Economics/Business/Law degree
    1x  Tax advisor certification or training
    1x  German tax law knowledge
    1x  Client advisory experience
    1x  German language proficiency (needs excellent level)
    1x  Accounting/tax preparation experience
    1x  Business/corporate finance background
    1x  Commercial education (HAK, FH, University) with Accounting/Tax focus
    1x  Professional experience in tax consulting firm
    1x  Knowledge of accounting and tax law
    1x  Client management experience in tax/accounting
    1x  BMD NTCS software knowledge
    1x  Tax return preparation experience
    1x  Financial statement preparation
    1x  Balance sheet creation according to UGB
    1x  Tax audit support
    1x  Authority communication experience
    1x  B2B sales experience
    1x  German language proficiency (candidate only has A2 level)
    1x  Knowledge of industrial automation/mobile machinery/intralogistik
    1x  Experience with IEC 61131-3 and Codesys
    1x  CAN and Ethernet bus systems experience
    1x  Image processing systems knowledge
    1x  OEM customer management
    1x  Sales strategy development
    1x  Commercial/business development experience
    1x  Formal Biology degree (has Aerospace Engineering)
    1x  BioPython library experience
    1x  Bioinformatics tools and methods
    1x  Systems biology experience
    1x  Molecular modeling experience
    1x  Specific computational biology problem design experience
    1x  Web product management
    1x  Team leadership of Product Owners/QA/Dev teams
    1x  UI/UX design expertise
    1x  Entrepreneurial/business experience
    1x  Product backlog management
    1x  Competitive analysis experience
    1x  Component-based UI systems knowledge
    1x  Finance background/qualification
    1x  Retail/commercial finance experience
    1x  Sales reporting experience
    1x  Till system management
    1x  Stock management processes
    1x  Budgeting and forecasting
    1x  FP&A experience
    1x  Snowflake experience
    1x  AWS services (S3, Lambda, API Gateway)
    1x  AWS CDK
    1x  Financial/pricing calculation systems
    1x  SAP data integration experience
    1x  Proven backend architecture at scale
    1x  German C2 fluency
    1x  Customer outreach via phone/video calls
    1x  Salesforce CRM experience
    1x  Business/commercial focus
    1x  Customer relationship building
    1x  Lead generation and pipeline management
    1x  eCommerce platform knowledge
    1x  Social media for sales
    1x  3+ years broker-dealer/financial services experience
    1x  Cryptocurrency operations experience
    1x  Trading operations experience
    1x  KYC and account approval processes
    1x  Anti-Money Laundering Program knowledge
    1x  General ledger reconciliation
    1x  Customer onboarding in financial services
    1x  Financial regulatory environment familiarity
    1x  10+ years total experience
    1x  4+ years product management leadership
    1x  Experience with 500k+ user products
    1x  Strategic roadmapping
    1x  Resource allocation
    1x  User feedback collection processes
    1x  Product experimentation frameworks
    1x  Product launch experience
    1x  Finance or business degree
    1x  Professional finance qualifications (ACA, CIMA, ACCA, CPA, MBA)
    1x  Financial planning and forecasting experience
    1x  P&L management
    1x  Budget setting
    1x  Financial systems (CERPS, Bison, CF/CCC, VISTA)
    1x  Commercial finance experience
    1x  Business partnering with commercial teams
    1x  Pricing analysis
    1x  ROI modeling
    1x  Financial reporting and month-end processes
    1x  8+ years operations leadership in regulated financial services
    1x  Experience operating crypto-asset or financial services platforms
    1x  Financial services operations experience
    1x  Leadership and team management experience
    1x  Test management experience
    1x  Test automation tools (Selenium, Power Automate, RPA)
    1x  Microsoft ecosystem (Azure DevOps, Microsoft 365)
    1x  Business process knowledge (HR, Finance, Sales)
    1x  German language (B2+ required)
    1x  Test case creation and management
    1x  Quality assurance methodologies
    1x  Testmanagement-Tools (Jira, Azure DevOps)
    1x  AWS experience (no mention in resume)
    1x  LLM/agent systems production experience
    1x  Distributed systems architecture at scale
    1x  Backend engineering focus
    1x  5+ years Python requirement not clearly met
    1x  Medical/clinical research experience
    1x  Translational research background
    1x  Medical imaging analysis
    1x  Cancer biology knowledge
    1x  Cardiovascular research experience
    1x  Immunology research background
    1x  MLOps 3+ years experience
    1x  Cloud platforms (AWS/GCP)
    1x  CI/CD for ML
    1x  Feature Stores
    1x  Model Registry
    1x  KI strategy development
    1x  Interdisciplinary team coaching
    1x  8+ years ML/AI experience (has ~4 years)
    1x  Team leadership and people management experience
    1x  Strategic planning and business alignment experience
    1x  Cross-functional collaboration with Product/Engineering teams
    1x  MLOps/LLMOps at scale
    1x  Portfolio-level business thinking
    1x  Experience coaching and developing careers of team members
    1x  Kubernetes/OpenShift cluster management
    1x  GitOps with ArgoCD/Flux
    1x  Infrastructure as Code (Terraform/Pulumi/Crossplane)
    1x  CI/CD pipeline design
    1x  Multi-cloud platforms (AWS/GCP/Azure)
    1x  Supply-chain security
    1x  German fluency
    1x  Platform engineering experience
    1x  Enterprise consulting experience
    1x  Technical leadership of engineering teams
    1x  Project management experience and certification
    1x  Very good German language skills (only has A2)
    1x  Commercial/business experience
    1x  Customer-facing project management
    1x  PM tools and methods knowledge
    1x  Defence/military domain knowledge
    1x  Team management and resource coordination experience
    1x  Digital marketing solutions delivery experience
    1x  Sales and marketing background
    1x  Client relationship management experience
    1x  Sports betting ecosystem knowledge
    1x  Ad-facing business models understanding
    1x  Programmatic advertising experience
    1x  Paid social and search experience
    1x  Account strategy development
    1x  Up-sell and cross-sell experience
    1x  3+ years experience at McKinsey, BCG, Bain, Oliver Wyman, Roland Berger, Monitor Deloitte, EY-Parthenon, Kearney, or Strategy&
    1x  Client-facing consulting project experience
    1x  Business strategy and management consulting expertise
    1x  Financial modeling for business contexts
    1x  Market analysis and commercial due diligence
    1x  Client deliverable creation under business constraints
    1x  CI/CD pipelines expertise
    1x  Database management (relational and non-relational)
    1x  Flask web framework
    1x  OpenAPI/gRPC specifications
    1x  Large project management from conception to maturity
    1x  Software engineering focus over research
    1x  VP-level executive experience
    1x  CX/BPO industry knowledge
    1x  Business development and sales collaboration
    1x  P&L responsibility
    1x  Digital transformation leadership at scale
    1x  Commercial opportunity identification
    1x  Next.js/TypeScript web development
    1x  Solana blockchain development
    1x  Smart contracts (Anchor)
    1x  tRPC
    1x  Prisma ORM
    1x  Web3/crypto experience
    1x  Product/Growth mindset
    1x  Startup/founding experience
    1x  Code review experience
    1x  Pull request evaluation
    1x  Debugging production systems
    1x  JavaScript/Java/C++ proficiency
    1x  Software engineering workflows
    1x  QA/testing methodologies
    1x  Educational content development
    1x  Sales experience or interest
    1x  CRM systems (Salesforce)
    1x  Sales methodologies (MEDDPICC, SPIN selling)
    1x  Lead generation experience
    1x  Business fluency in German
    1x  MS Office proficiency for business use
    1x  B2B SaaS industry knowledge
    1x  Currently enrolled student status
    1x  Go programming language (primary requirement)
    1x  Staff-level software engineering experience
    1x  High-growth startup product ownership
    1x  Backend/API infrastructure at scale
    1x  Stakeholder and product management
    1x  Travel/hospitality domain experience
    1x  Currently enrolled university student status
    1x  Human resources management focus/coursework
    1x  Business administration knowledge
    1x  Controlling/accounting experience
    1x  Advanced Microsoft Office skills (Word, Excel, PowerPoint)
    1x  HR-specific interest and background
    1x  Service-oriented customer interaction experience
    1x  8+ years experience (has 4+ years)
    1x  Consulting experience
    1x  Business strategy and transformation
    1x  Client-facing sales and pre-sales
    1x  Industry vertical expertise (banking, insurance, manufacturing)
    1x  Data governance and AI strategy
    1x  CxO-level stakeholder management
    1x  Workshop facilitation
    1x  Proposal development
    1x  Full-stack development experience
    1x  Customer-facing engineering
    1x  Third-party system integrations
    1x  LLM prompting and tuning
    1x  Voice stack/transcriber experience
    1x  Enterprise software experience
    1x  Project management under tight deadlines
    1x  8+ years technology leadership in regulated financial services/fintech/crypto
    1x  Digital asset custody/wallet infrastructure experience
    1x  Senior executive/C-level leadership experience
    1x  Financial services technology strategy
    1x  Pure software development focus (heavy research background)
    1x  Traditional web application development
    1x  Cloud platforms experience
    1x  Deployment automation
    1x  Open-source contributions
    1x  SAP Business AI experience
    1x  SAP Joule knowledge
    1x  Agentic AI for process automation
    1x  SAP project experience
    1x  SAP certification
    1x  German C1 proficiency
    1x  Stakeholder communication in enterprise settings
    1x  Real-World Data (RWD) experience with EHR/claims data
    1x  Epidemiology expertise
    1x  Causal inference methodologies
    1x  Regulatory submissions experience
    1x  7+ years industry experience
    1x  Healthcare/medical domain knowledge
    1x  Cardiovascular/Renal/Metabolic therapeutic area experience
    1x  Principal/senior leadership experience
    1x  Trading or financial markets experience
    1x  Electricity markets or power systems knowledge
    1x  Linear programming and stochastic optimization
    1x  Meteorological/weather data experience
    1x  Production forecasting models for trading
    1x  Backtesting frameworks
    1x  Real-time trading constraints
    1x  Administrative and business communication experience
    1x  Client interfacing and customer service skills
    1x  Scheduling and event planning
    1x  General business operations support
    1x  Spreadsheet-based data collection and reporting
    1x  Content writing and creative work experience
    1x  Physical fitness for 6-7 hours of daily walking
    1x  Field data collection experience
    1x  Retail/public space navigation experience
    1x  Manual data entry and validation tasks
    1x  Expense reporting and timesheet management
    1x  Short-form video content creation
    1x  Instagram Reels and YouTube Shorts experience
    1x  Social media content strategy
    1x  Brand storytelling for consumer audiences
    1x  UK market knowledge
    1x  Content performance metrics and optimization
    1x  Graphic design and visual content creation
    1x  Humor and entertainment content writing
    1x  Waste management or traditional industry knowledge
    1x  8+ years DBA experience
    1x  MySQL/Redis system principles
    1x  AWS cloud technology stack (VPC/AuroraRDS/Valkey/OpenSearch)
    1x  TiDB/Doris/ES distributed databases
    1x  Financial-level storage components management
    1x  Database SLA management (99.99%)
    1x  Golang backend development
    1x  Massive database experience (cluster > 800, TB+ data)
    1x  Production database operations and maintenance
    1x  Bioinformatics experience
    1x  Metabolomics data analysis
    1x  Biological databases knowledge
    1x  Nutrition or health domain knowledge
    1x  Experience with biological/metabolic data interpretation
    1x  Cabin crew experience
    1x  Hospitality/service industry experience
    1x  Aviation safety training
    1x  Food service experience
    1x  Customer service in luxury settings
    1x  Physical demands of cabin crew work
    1x  Aviation regulations knowledge
    1x  Emergency procedures training
    1x  German language proficiency (very good required)
    1x  Solution architecture for enterprise clients
    1x  Life sciences domain knowledge
    1x  Dashboard development experience
    1x  Data modeling (Star Schema, Snowflake Schema)
    1x  UI/UX design background
    1x  Business requirements analysis
    1x  KPIs and business metrics understanding
    1x  Grafana experience
    1x  SAC experience
    1x  Advanced German proficiency
    1x  Business intelligence domain experience
    1x  Bilingual fluency in required language pairs
    1x  Audio recording experience
    1x  Quality assurance experience for audio content
    1x  Customer service dialogue familiarity
    1x  Linguistic review capabilities
    1x  2+ years customer-facing experience
    1x  Customer Success Manager/Account Manager experience
    1x  SaaS product support experience
    1x  Customer onboarding experience
    1x  Retention and engagement strategies
    1x  Experience with recruiting/HR tools
    1x  Email support and customer call management
    1x  Leadership/management experience
    1x  Business development and client acquisition
    1x  IT consulting experience
    1x  Team building and P&L responsibility
    1x  Strategic business planning
    1x  E-Learning and digital education experience
    1x  Moodle or LMS administration
    1x  German language proficiency (only A2 vs required very good)
    1x  E-Learning content creation
    1x  Educational technology background
    1x  MS Office advanced skills
    1x  Server and network administration
    1x  Training and instructional design experience
    1x  Team leadership experience (managing ~10 people)
    1x  Agile project management expertise
    1x  Banking/Financial services experience
    1x  Pension fund domain knowledge
    1x  DevOps and cloud architecture experience
    1x  Change management and transformation leadership
    1x  Rust programming (critical requirement)
    1x  5+ years Technical Leadership experience
    1x  High-frequency trading systems
    1x  AWS production environments
    1x  Kubernetes clusters management
    1x  Finance/cryptocurrency domain knowledge
    1x  Node.js/TypeScript
    1x  GitOps workflows
    1x  Ultra-low-latency systems
    1x  Team management and mentorship at scale
